LogOfAreas,Log_X_Index,Outside_X_Index,Pixels_Areas,X_Perimeter,Sum_of_Luminosity,Length_of_Conveyer,SigmoidOfAreas,Minimum_of_Luminosity,Edges_Index,Fault_Type
2.0253,0.7782,0.0044,106,14,11931,1364,0.2984,99,0.9047,Healthy
2.0969,1.0792,0.0089,125,15,12560,1352,0.2432,90,0.0177,Z_Scratch
1.0792,0.7782,0.0044,12,8,12587,1358,0.1773,116,0.8909,Stains
2.4609,0.9031,0.0059,289,16,32134,1354,0.7659,101,0.0325,Dirtiness
2.0607,1.1461,0.0103,115,18,13352,1356,0.417,109,0.3539,Healthy
2.5682,1.301,0.0147,370,39,49848,1362,0.9755,78,0.0308,Healthy
1.2041,0.9542,0.0066,16,10,2076,1362,0.1483,123,0.8468,Other_faults
2.017,0.9031,0.0058,104,14,11979,1354,0.286,111,0.0325,Healthy
2.7868,1.301,0.0144,659,49,62225,1360,0.9998,106,0.1252,Dirtiness
1.5682,1.1139,0.0095,37,13,5577,1368,0.2105,101,0.6561,Other_faults
1.716,1.1461,0.0103,52,20,6091,1352,0.2901,113,0.2872,Other_faults
2.4885,1.1139,0.0096,308,33,24463,1358,0.8355,78,0.2059,Other_faults
2.7952,1.3802,0.0142,624,46,29386,1696,0.9977,30,0.0024,Pastry
2.1072,1.0792,0.0071,128,18,17756,1356,0.3241,114,0.4421,Z_Scratch
2.7566,1.5185,0.0242,527,76,54324,1356,0.9491,86,0.0648,Z_Scratch
1.4771,1.0,0.0074,30,11,30451,1360,0.1954,99,0.1849,Stains
1.2553,0.8451,0.0052,18,13,2157,1358,0.1483,108,0.2739,Stains
2.1367,1.0792,0.0089,137,22,15643,1358,0.5162,99,0.5641,Healthy
1.8261,0.9542,0.0053,67,12,7105,1656,0.1852,35,0.2439,Pastry
2.2253,1.1461,0.0083,168,30,15359,1690,0.4796,82,0.0546,Other_faults
1.7559,1.0414,0.0081,57,11,6528,1356,0.1822,102,0.1202,Bumps
3.8443,2.1931,0.1129,6596,278,686356,1358,1.0,37,0.0574,K_Scatch
1.7076,0.9542,0.0066,51,11,5345,1356,0.1773,102,0.7355,Z_Scratch
3.7989,2.1553,0.1044,6181,229,635284,1358,1.0,43,0.0574,K_Scatch
1.8389,0.7782,0.0044,69,14,1732,1684,0.2288,52,0.0047,Pastry
3.9522,2.1818,0.1083,8957,562,1025103,1402,1.0,27,0.0734,Healthy
4.0965,2.1847,0.1091,12509,652,1320194,1400,1.0,27,0.0557,Healthy
1.0792,0.699,0.0037,12,5,1504,1360,0.1322,111,0.7393,Stains
2.2253,1.0792,0.0088,168,21,20124,1360,0.3977,105,0.8395,Dirtiness
1.2553,0.7782,0.0044,18,7,2370,1358,0.1353,118,0.9087,Stains
1.6233,0.7782,0.0044,42,8,5702,1358,0.1322,108,0.0874,Stains
2.1553,1.1761,0.011,142,30,17042,1366,0.3678,95,0.0972,Other_faults
2.2304,0.9542,0.0066,170,14,18996,1687,0.3494,97,0.0896,Pastry
1.2305,0.8451,0.0052,17,7,2183,1356,0.1384,111,0.7158,Stains
3.7906,2.2068,0.1187,6181,209,638448,1358,1.0,48,0.0604,Healthy
2.2833,0.9542,0.0065,194,19,19202,1387,0.4564,66,0.9277,Other_faults
2.281,1.3979,0.0184,191,59,18471,1362,0.7281,86,0.2047,Healthy
2.0334,1.1761,0.0089,108,25,12235,1652,0.3601,106,0.1103,Pastry
1.0792,0.7782,0.0044,12,4,1235,1358,0.1753,116,0.5926,Stains
2.1173,1.0414,0.0081,131,16,17433,1387,0.3494,118,0.1168,K_Scatch
1.9085,1.0792,0.0088,81,16,9458,1362,0.2583,106,0.9231,Z_Scratch
2.5353,1.2041,0.0118,323,48,32766,1353,0.8355,84,0.0308,Bumps
2.1903,1.0,0.0074,155,19,14163,1356,0.3479,85,0.5089,Bumps
2.0569,1.0414,0.0065,114,15,12367,1687,0.257,84,0.8395,Other_faults
3.2898,1.6233,0.0254,1949,79,245168,1696,1.0,27,0.1103,Dirtiness
1.8261,0.7782,0.0044,67,10,7658,1358,0.2083,89,0.1495,Bumps
2.0682,0.9542,0.0066,117,12,14763,1356,0.3601,92,0.8304,Pastry
1.6021,0.8451,0.0053,40,8,4557,1358,0.1659,80,0.3338,Stains
2.2227,1.0414,0.0081,169,19,17588,1362,0.3725,96,0.7665,Healthy
2.1367,1.2305,0.0125,137,20,15526,1356,0.3419,96,0.1657,Z_Scratch
2.3222,1.1461,0.0082,210,38,21556,1687,0.633,86,0.0,Pastry
2.3766,1.1761,0.0109,236,25,24783,1387,0.6422,104,0.2991,Pastry
2.2923,1.0414,0.008,198,18,18986,1354,0.4913,82,0.6426,Pastry
2.2648,1.2553,0.0132,184,30,18327,1362,0.3329,96,0.1684,Bumps
3.8416,2.248,0.1303,6944,256,723643,1358,1.0,41,0.0604,K_Scatch
3.8443,2.2624,0.1307,6532,351,685717,1356,1.0,40,0.0605,K_Scatch
3.0403,2.179,0.1077,969,157,1025103,1358,1.0,87,0.2835,Healthy
2.2553,0.7782,0.0044,180,27,19139,1358,0.3601,101,0.2058,Bumps
1.716,1.0,0.0074,52,12,6554,1358,0.2583,115,0.4433,Stains
2.8267,1.2305,0.0136,671,37,77840,1354,0.9993,91,0.0024,Z_Scratch
1.8261,0.9031,0.0047,67,10,7457,1687,0.1852,89,0.98,Pastry
1.7993,1.2041,0.0118,63,22,7479,1356,0.2348,110,0.0415,Z_Scratch
2.4786,1.3802,0.0176,301,52,31838,1362,0.8223,106,0.7107,Bumps
1.7853,0.8451,0.0052,61,12,6994,1356,0.1892,102,0.4381,Other_faults
2.7694,1.0792,0.0088,518,33,48793,1360,0.9685,88,0.0509,Healthy
3.8301,2.248,0.1303,6763,263,706929,1358,1.0,38,0.0574,K_Scatch
2.0294,1.4472,0.0206,107,38,16498,1366,0.417,114,0.7273,Dirtiness
0.8451,0.7782,0.0044,6,8,775,1360,0.1773,113,0.4728,Stains
2.7566,1.3979,0.0184,571,73,53750,1387,0.9998,45,0.0399,K_Scatch
2.3096,1.0414,0.0081,204,24,22913,1353,0.6173,90,0.0325,Other_faults
2.6656,0.9031,0.0059,460,12,7168,1364,0.8183,97,0.9135,Dirtiness
2.1239,0.9031,0.0059,133,18,13351,1362,0.3241,84,0.6304,Bumps
1.8129,0.9542,0.0053,65,11,6757,1696,0.1862,89,0.6623,Bumps
2.7566,1.0414,0.0081,561,123,71112,1358,0.9994,122,0.9106,Dirtiness
2.9841,1.0792,0.0088,955,57,97514,1364,0.9997,48,0.8812,Dirtiness
2.0374,1.0414,0.0066,109,16,14076,1353,0.2532,109,0.2183,Dirtiness
1.7324,1.3979,0.0184,54,24,6470,1360,0.2532,123,0.412,Stains
1.7993,1.0,0.006,63,11,6994,1694,0.1773,86,0.9231,Other_faults
2.1399,1.0414,0.0081,138,20,16308,1372,0.4399,107,0.2801,Dirtiness
4.081,2.1931,0.1129,12509,585,1238454,1308,1.0,38,0.0558,K_Scatch
1.2305,1.5563,0.0265,17,37,2167,1358,0.1353,96,0.3002,Healthy
3.7669,2.248,0.1303,5846,293,608295,1358,1.0,45,0.0574,K_Scatch
2.1399,1.1139,0.0096,137,23,16916,1372,0.4399,120,0.2877,Pastry
1.9243,1.0,0.0059,84,13,8047,1686,0.2583,82,0.0627,Bumps
1.0792,0.7782,0.0044,12,8,12587,1358,0.1773,116,0.8909,Stains
2.0212,0.8451,0.0052,105,18,14403,1358,0.3725,102,0.0265,Pastry
2.574,1.3424,0.0161,375,79,38401,1360,0.9608,96,0.6517,Bumps
2.42,1.0414,0.0081,264,26,27236,1358,0.7065,98,0.2482,Z_Scratch
1.9542,1.0414,0.0081,90,12,13173,1387,0.2901,192,0.7332,K_Scatch
2.1004,1.1139,0.0077,126,21,14132,1362,0.3678,83,0.3911,Healthy
2.4314,1.0,0.0074,258,37,22508,1360,0.7512,78,0.5206,Z_Scratch
2.8921,1.3802,0.0142,788,37,69258,1687,0.9919,71,0.0206,Healthy
2.6454,0.699,0.0037,415,16,45783,1354,0.9212,78,0.0325,Pastry
1.3802,0.9031,0.0059,24,10,3166,1358,0.1622,112,0.1456,Healthy
2.1818,1.1461,0.0083,154,14,15070,1710,0.3494,85,0.0,Z_Scratch
3.284,1.3222,0.0153,1923,251,239860,1364,1.0,92,0.094,Pastry
2.1903,1.1139,0.0095,155,21,16675,1352,0.417,104,0.1441,Z_Scratch
3.2292,1.5051,0.0236,1695,136,142791,1354,1.0,69,0.1076,Z_Scratch
3.7863,0.7782,0.0044,6057,56,626256,1394,1.0,104,0.0148,Pastry
1.0792,0.699,0.0037,12,5,1543,1360,0.1262,123,0.8809,Stains
2.5832,0.9542,0.0066,384,42,45269,1364,0.7966,97,0.2385,Pastry
2.7566,1.0414,0.0081,561,20,51176,1360,0.9995,73,0.9173,Other_faults
3.4458,2.1492,0.1,2795,163,2712104,1360,1.0,38,0.0148,Z_Scratch
2.8048,1.3424,0.0161,659,102,79713,1356,0.9999,113,0.0604,Z_Scratch
2.2878,1.1761,0.0108,194,20,18651,1387,0.5296,68,0.0118,Pastry
2.7657,1.3222,0.0125,583,43,67597,1698,0.9992,62,0.0,Pastry
1.7559,0.9031,0.0047,57,9,6243,1687,0.1773,87,0.7541,Pastry
2.8306,1.1139,0.0077,677,43,67597,1690,0.9471,64,0.0,Pastry
2.8965,0.7782,0.0044,788,35,84410,1353,0.95,93,0.9164,Dirtiness
2.1106,1.4624,0.0213,129,44,16308,1364,0.3068,102,0.5716,Healthy
1.716,1.0,0.0074,52,12,6554,1358,0.2583,115,0.4433,Stains
1.5441,0.7782,0.0044,35,6,4998,1358,0.1449,107,0.9106,Stains
1.9445,1.0,0.0059,88,15,8602,1692,0.2792,90,0.1202,Healthy
2.0043,1.0414,0.0081,102,13,14997,1354,0.257,120,0.6824,Dirtiness
2.1271,1.1461,0.0103,133,15,15385,1362,0.4399,101,0.6026,Dirtiness
2.1523,0.9542,0.0066,143,12,16920,1353,0.417,109,0.2757,Dirtiness
2.0934,1.0792,0.0089,125,23,12566,1694,0.417,68,0.2485,Pastry
2.9671,1.1761,0.0089,836,50,86830,1687,0.9998,81,0.9106,Pastry
2.2304,0.9542,0.0066,170,22,20000,1690,0.4963,97,0.5613,Other_faults
3.8412,2.1987,0.1129,6926,205,722716,1358,1.0,37,0.0574,K_Scatch
2.1732,1.5051,0.0199,149,32,19691,1356,0.3494,128,0.4417,K_Scatch
2.3483,0.9031,0.0059,223,25,24463,1362,0.43,78,0.0341,Healthy
2.3997,1.4624,0.0213,251,51,30361,1360,0.7079,115,0.2015,Other_faults
1.9345,0.8451,0.0052,86,10,8813,1364,0.2469,91,0.1688,Bumps
2.1173,0.9542,0.0066,131,35,15397,1362,0.4025,107,0.2185,Z_Scratch
2.0414,1.2553,0.0109,110,24,13938,1358,0.3329,111,0.4599,Z_Scratch
3.0065,1.5911,0.0285,1004,231,1098162,1358,1.0,97,0.6417,Z_Scratch
3.7933,2.248,0.1303,6277,286,648910,1358,1.0,36,0.0604,K_Scatch
2.2648,1.0414,0.0065,185,13,18996,1687,0.3663,92,0.8916,Pastry
2.5276,1.3424,0.0162,337,106,34055,1358,0.9765,115,0.0749,K_Scatch
2.3463,0.8451,0.0041,223,14,25269,1628,0.3678,88,0.0047,Pastry
2.3617,0.9542,0.0055,230,24,20916,1627,0.6868,108,0.0296,Dirtiness
2.5809,1.3222,0.0154,381,43,43968,1373,0.9254,73,0.239,Z_Scratch
1.2305,0.9542,0.0066,17,13,2274,1358,0.1687,114,0.0353,Stains
1.7324,0.9542,0.0066,54,15,5857,1353,0.2051,100,0.6194,Bumps
3.831,2.243,0.1276,6776,252,677554,1356,1.0,42,0.0575,K_Scatch
3.9708,2.6181,0.296,8391,578,996980,1358,1.0,29,0.0586,K_Scatch
2.1004,1.0414,0.0065,126,18,11803,1368,0.2173,64,0.8269,Other_faults
2.7875,0.9542,0.0066,671,19,68984,1374,0.9703,95,0.1102,Dirtiness
2.9974,2.1761,0.1035,979,187,99671,1360,1.0,92,0.1885,Other_faults
2.1847,0.7782,0.0044,153,16,17101,1352,0.4025,104,0.0532,Pastry
2.9504,1.7243,0.0391,884,109,103558,1362,1.0,65,0.1605,Z_Scratch
4.1567,2.1931,0.1113,14346,709,1661835,1400,1.0,38,0.0557,K_Scatch
2.1271,1.0,0.0073,134,13,14121,1690,0.2359,91,0.5243,Pastry
3.8229,2.248,0.1303,6653,275,677554,1358,1.0,36,0.0605,K_Scatch
2.3711,1.0,0.0059,235,25,23155,1692,0.6574,78,0.0972,Healthy
2.3636,1.1761,0.011,231,19,24697,1373,0.3977,91,0.0146,Healthy
2.0128,1.3222,0.0124,103,21,13292,1648,0.3509,102,0.2385,Other_faults
2.0414,1.0,0.0074,110,20,12348,1364,0.2914,111,0.1221,Dirtiness
2.1303,0.9031,0.0047,135,9,1808,1624,0.266,99,0.9685,Dirtiness
2.1367,0.7782,0.0044,137,15,17101,1692,0.3241,71,0.4686,Healthy
2.9499,1.1139,0.0096,890,77,90154,1360,0.9999,78,0.4346,Dirtiness
2.3944,1.0792,0.0089,248,25,25531,1353,0.5951,88,0.0809,Bumps
2.8549,1.2041,0.0118,713,98,750685,1360,0.9999,81,0.9106,Dirtiness
2.0253,1.2041,0.0118,106,28,12348,1353,0.2583,104,0.5802,Other_faults
3.581,1.5051,0.0236,3812,230,414252,1666,1.0,37,0.1772,K_Scatch
1.6233,0.8451,0.0052,42,11,5376,1358,0.1753,107,0.9057,Stains
1.716,0.699,0.0037,6,6,775,1358,0.1322,113,0.9146,Stains
1.5441,0.7782,0.0044,35,5,4998,1358,0.1322,109,0.9808,Stains
1.7634,0.699,0.0037,58,21,6652,1356,0.2359,111,0.0665,Bumps
2.1847,1.301,0.0121,154,28,16633,1696,0.4399,104,0.1474,Bumps
3.8649,2.243,0.1289,6293,277,688430,1358,1.0,38,0.0604,K_Scatch
1.2305,0.8451,0.0052,17,10,2267,1360,0.1441,114,0.8809,Stains
2.0334,0.9542,0.0066,108,14,11431,1626,0.2384,67,0.7094,Pastry
1.7324,1.0,0.0059,54,12,5912,1687,0.1852,65,0.1491,Other_faults
2.0374,1.2041,0.0118,109,17,14538,1373,0.3329,93,0.2482,Z_Scratch
2.7566,1.2041,0.0118,539,99,637707,1400,0.9998,51,0.0557,Pastry
2.749,1.3617,0.0144,561,61,67978,1692,0.997,68,0.1233,Bumps
2.6474,1.1139,0.0095,446,38,46972,1373,0.9231,92,0.6637,Pastry
2.0969,0.9542,0.0067,125,20,14997,1352,0.3359,106,0.0459,Dirtiness
2.1847,1.1461,0.0083,153,22,18654,1690,0.4399,102,0.6637,Other_faults
2.7566,1.6233,0.031,521,61,63525,1362,0.9998,119,0.5191,Dirtiness
2.5478,1.3802,0.0142,353,79,27389,1692,0.9998,77,0.1064,Healthy
1.0792,0.6021,0.003,12,4,1528,1358,0.1292,107,0.2312,Stains
3.8033,2.238,0.1274,6357,210,637317,1358,1.0,38,0.0604,K_Scatch
2.7566,1.2305,0.0101,571,26,59750,1373,0.9474,77,0.0188,Dirtiness
2.0043,1.2305,0.0125,102,20,11570,1362,0.3068,107,0.2482,Z_Scratch
2.7292,0.8451,0.0052,536,56,60109,1354,0.9874,96,0.0547,Dirtiness
2.4829,1.0792,0.0088,304,30,34142,1356,0.633,106,0.071,Z_Scratch
1.5185,1.1761,0.0072,33,14,3476,1688,0.1773,104,0.0,Bumps
2.2765,1.0414,0.0081,188,42,20124,1356,0.4729,102,0.6456,Z_Scratch
2.3096,1.1461,0.0104,204,24,18720,1692,0.5329,79,0.7618,Bumps
1.8195,0.7782,0.0041,66,9,6657,1690,0.1852,80,0.9164,Pastry
1.2305,0.9031,0.0059,17,8,2274,1358,0.1417,120,0.2047,Stains
1.2305,0.699,0.0037,17,6,2181,1358,0.1322,112,0.8177,Stains
1.7482,1.5051,0.0189,56,32,7484,1690,0.1822,108,0.0532,Other_faults
2.525,1.0,0.0072,335,12,3507,1387,0.8299,28,0.0455,Pastry
2.1523,0.7782,0.0035,143,17,10685,1692,0.3241,91,0.0071,Healthy
3.7776,2.248,0.1303,5993,263,582040,1356,1.0,42,0.0605,K_Scatch
1.8692,1.0414,0.0081,74,11,8292,1362,0.2173,108,0.7418,Other_faults
3.8197,2.243,0.1289,6615,295,686356,1358,1.0,36,0.0574,K_Scatch
2.0645,1.2553,0.0132,116,25,13292,1358,0.3359,97,0.4538,Bumps
4.2024,2.842,0.1649,16469,1029,1877827,1402,1.0,22,0.8106,K_Scatch
2.0828,1.0792,0.0071,121,14,11759,1688,0.2901,64,0.0924,Bumps
2.0334,0.9542,0.0053,108,12,10855,1692,0.215,79,0.0015,Pastry
2.0756,1.1139,0.0077,119,20,13800,1688,0.3285,103,0.783,Bumps
1.7324,0.9031,0.0047,54,11,5712,1358,0.1773,95,0.0133,Z_Scratch
4.2085,2.2406,0.1238,16686,796,1847464,1400,1.0,19,0.0558,K_Scatch
3.8098,2.2304,0.1254,6404,263,660910,1358,1.0,43,0.0604,K_Scatch
2.3096,1.0414,0.0068,204,11,21691,1694,0.5789,101,0.1458,Pastry
1.2041,0.9031,0.0059,16,9,1990,1358,0.1773,122,0.2227,Stains
1.7324,0.9031,0.0059,54,9,7768,1690,0.1622,123,0.4182,Dirtiness
1.9138,1.1461,0.0103,82,18,7974,1354,0.2901,148,0.8796,Z_Scratch
1.7781,0.9031,0.0059,60,13,7881,1364,0.2018,111,0.7355,Dirtiness
2.7168,1.0792,0.0088,521,38,48793,1364,0.9998,70,0.4164,Pastry
2.0212,0.7782,0.0044,105,15,9381,1366,0.215,97,0.6388,Pastry
1.3424,0.9031,0.0059,22,7,2633,1358,0.1773,110,0.9003,Stains
2.8189,1.0414,0.0081,662,55,71112,1364,0.9977,101,0.9106,Dirtiness
3.6399,2.2304,0.1254,4364,209,460547,1356,1.0,36,0.0676,Healthy
1.2041,1.4314,0.0199,16,28,2025,1358,0.1551,120,0.5638,Stains
2.3856,1.0792,0.0088,243,25,24807,1364,0.5951,90,0.6304,Pastry
1.2553,0.8451,0.0052,18,7,2376,1358,0.1322,114,0.9411,Stains
2.1553,1.0792,0.0089,143,20,14369,1352,0.3977,84,0.4254,Bumps
1.2553,0.7782,0.0044,18,6,2216,1358,0.1892,112,0.0827,Other_faults
2.5763,1.1139,0.0079,377,22,42686,1687,0.9061,76,0.1593,Pastry
2.1461,1.1139,0.0096,140,21,18695,1353,0.6438,99,0.9031,Bumps
2.2253,1.1461,0.0083,168,20,12587,1692,0.417,77,0.0059,Other_faults
2.0756,1.1139,0.0096,119,19,12348,1358,0.3479,40,0.0604,Z_Scratch
2.1367,0.9542,0.0066,137,15,15526,1362,0.3154,91,0.013,Other_faults
3.7928,2.233,0.1268,6206,257,618605,1356,1.0,39,0.0605,K_Scatch
1.7781,0.9031,0.0059,60,13,7881,1364,0.2018,111,0.7355,Dirtiness
2.5172,1.0414,0.0065,339,17,41476,1652,0.7822,75,0.0133,Bumps
2.3181,1.5051,0.0237,208,29,24034,1360,0.6693,89,0.1445,Bumps
0.7782,0.8451,0.0052,6,7,8193,1358,0.1232,95,0.4144,Stains
2.4683,1.0792,0.0088,294,34,20642,1360,0.8952,88,0.4223,Pastry
4.3165,2.2068,0.1293,20726,821,246930,1400,1.0,40,0.0557,K_Scatch
1.2553,0.699,0.0037,18,6,2319,1688,0.1322,99,0.7552,Other_faults
2.7566,1.1761,0.011,571,24,7281,1373,0.9076,106,0.0896,Pastry
1.2041,0.9031,0.0059,16,10,1990,1358,0.1322,105,0.6696,Stains
2.0569,0.7782,0.0044,114,20,14167,1690,0.266,117,0.8471,Bumps
1.8976,0.8451,0.0051,78,8,8235,1687,0.2739,99,0.7265,Other_faults
2.2765,1.301,0.0147,189,37,18327,1364,0.5951,85,0.2054,Bumps
2.4609,2.1903,0.1106,2643,631,2712104,1400,1.0,29,0.0557,K_Scatch
2.3979,1.0792,0.0087,247,17,22532,1687,0.5461,97,0.971,Bumps
4.0376,2.1761,0.1071,10743,796,1245114,1362,1.0,96,0.6572,K_Scatch
1.2305,1.2041,0.0116,17,23,2183,1362,0.215,120,0.5513,Bumps
1.2305,1.0,0.0074,17,12,2274,1358,0.1417,95,0.7202,Stains
3.7989,2.233,0.1259,6652,276,659350,1358,1.0,41,0.0604,K_Scatch
4.1746,2.2672,0.1205,14946,801,1661835,1400,1.0,33,0.0585,K_Scatch
3.0009,1.1461,0.0102,1002,102,109163,1356,1.0,87,0.0862,Z_Scratch
2.0334,1.1139,0.0096,108,17,10855,1356,0.2914,71,0.1578,Z_Scratch
2.3927,1.2305,0.0125,247,27,23642,1354,0.6268,84,0.2183,Z_Scratch
2.1644,1.415,0.0191,146,38,16308,1356,0.5362,93,0.2884,Healthy
2.1584,0.7782,0.0035,144,15,15785,1696,0.2984,90,0.1103,Pastry
1.8261,0.9542,0.0053,67,14,7658,1652,0.2359,84,0.7445,Pastry
2.9978,1.0414,0.0081,996,56,83011,1687,0.9997,87,0.2861,Pastry
1.9191,0.6021,0.0029,83,18,10196,1370,0.2288,61,0.9135,Dirtiness
2.7292,1.1139,0.0095,536,34,68349,1374,0.9519,119,0.195,Healthy
1.2041,0.7782,0.0044,16,5,2001,1358,0.14,120,0.2298,Stains
4.1044,2.238,0.1274,12729,755,1585785,1400,1.0,29,0.0585,Other_faults
2.2279,1.0,0.0059,169,11,18742,1690,0.3977,87,0.1376,Pastry
2.1614,1.0792,0.0089,145,11,14320,1692,0.3068,68,0.0133,Bumps
4.0831,2.2068,0.1148,12108,755,1402972,1402,1.0,36,0.0585,K_Scatch
1.9294,1.0414,0.0065,85,13,10211,1690,0.2173,111,0.882,Bumps
2.3117,1.3979,0.0184,205,45,25491,1356,0.7281,115,0.1608,Z_Scratch
1.8062,1.0414,0.0065,64,12,6913,1698,0.1934,89,0.8982,Bumps
2.2095,1.3802,0.0177,161,30,18651,1356,0.5296,104,0.6613,Z_Scratch
1.8325,0.7782,0.0044,68,6,7143,1358,0.1687,97,0.9146,Stains
1.1761,0.8451,0.0052,15,7,1923,1358,0.133,118,0.3412,Stains
2.2833,1.1139,0.0095,192,37,21640,1354,0.6619,99,0.1894,Z_Scratch
1.7708,1.2553,0.0132,59,19,6525,1373,0.215,99,0.3806,Stains
2.0414,1.3802,0.0176,110,44,11748,1360,0.417,115,0.1613,Dirtiness
3.817,2.243,0.1289,6562,255,723643,1358,1.0,36,0.0604,K_Scatch
3.7673,2.2455,0.1298,5951,247,618846,1358,1.0,45,0.0575,Other_faults
2.0414,0.7782,0.0044,110,18,14260,1353,0.3097,117,0.0399,Dirtiness
2.0086,0.9542,0.0066,102,14,10784,1358,0.2359,87,0.0107,Pastry
2.7672,1.3979,0.0148,585,94,54451,1352,0.9998,49,0.0557,Healthy
1.7243,1.0414,0.0081,53,19,6146,1354,0.204,102,0.4164,Z_Scratch
2.5353,1.1761,0.0091,343,33,33607,1687,0.8183,93,0.7467,Pastry
3.6885,1.5185,0.0243,4860,470,570911,1358,1.0,93,0.1849,Z_Scratch
2.0414,1.6335,0.0254,110,45,13464,1358,0.7079,123,0.1811,Other_faults
1.9191,1.1461,0.0083,87,20,9016,1690,0.2901,71,0.9164,Other_faults
3.8131,2.248,0.1303,6532,278,654358,1358,1.0,41,0.0604,K_Scatch
2.5024,1.2305,0.0126,318,36,31667,1353,0.8223,33,0.5352,Healthy
1.8573,0.9542,0.006,70,10,9247,1366,1.0,100,0.6333,Other_faults
2.2878,0.9542,0.0053,194,25,16759,1687,0.5951,55,0.0353,Other_faults
2.8306,1.5185,0.0243,677,114,86417,1356,0.9998,103,0.1443,Z_Scratch
1.9138,0.9542,0.0053,82,8,9556,1360,0.1773,116,0.4441,Healthy
2.3222,1.1139,0.0095,210,34,29896,1373,0.8312,119,0.3174,Other_faults
2.6375,1.0792,0.0089,434,41,46236,1352,0.9891,90,0.0547,Bumps
3.756,1.2041,0.0117,5702,126,516343,1666,1.0,63,0.0972,Pastry
1.0792,0.699,0.0037,12,6,1522,1360,0.1499,110,0.2771,Stains
2.3263,1.301,0.0147,212,26,21031,1360,0.5296,84,0.1162,Healthy
2.0492,1.0,0.0074,111,18,11998,1354,0.2583,104,0.6613,Z_Scratch
2.8209,1.5563,0.0213,665,55,86424,1362,0.9966,120,0.6206,Other_faults
2.1206,1.3802,0.0176,133,28,14298,1356,0.4366,89,0.4144,Other_faults
1.7559,1.0792,0.0088,57,19,7296,1362,0.2288,120,0.7552,Healthy
2.4216,1.0414,0.0081,264,54,30966,1353,0.8749,118,0.0631,Healthy
1.7324,0.9031,0.0059,54,10,6207,1360,0.266,111,0.6143,Bumps
3.8082,2.243,0.1289,6422,257,668126,1698,1.0,46,0.0556,Pastry
2.7316,1.4624,0.0207,539,61,56864,1358,0.9987,89,0.6622,Healthy
2.4393,1.1461,0.0085,279,18,28818,1687,0.6574,77,0.0047,Dirtiness
2.0212,1.301,0.0148,105,23,12617,1650,0.3068,105,0.0216,Healthy
1.2305,0.699,0.0037,17,3,2240,1358,0.1262,109,0.0,Stains
2.1367,1.0414,0.0065,137,21,14533,1387,0.3125,90,0.0707,Dirtiness
1.5315,0.9031,0.0047,34,10,3553,1690,0.1622,92,0.6701,Bumps
2.8306,1.3424,0.0161,659,44,637707,1692,0.9997,84,0.6785,Other_faults
3.798,2.2529,0.1289,6281,262,654358,1358,1.0,46,0.0604,K_Scatch
2.2923,1.1461,0.0103,196,47,21354,1698,0.7347,81,0.1177,Healthy
2.3979,1.4472,0.0206,250,59,34165,1356,0.6514,114,0.2015,Z_Scratch
2.7059,1.3222,0.0155,508,73,543449,1354,0.9899,82,0.0739,Healthy
2.5302,1.4914,0.0221,339,47,43551,1360,0.8355,129,0.1792,Z_Scratch
1.8261,0.8451,0.0041,67,8,6391,1690,0.1892,81,0.1202,Pastry
2.1461,0.699,0.0037,140,12,16020,1354,0.3834,108,0.0325,Dirtiness
1.7781,0.9031,0.0047,60,9,7104,1356,0.1773,113,0.732,Stains
1.8389,0.7782,0.0044,69,12,8235,1387,0.2469,104,0.0325,Pastry
2.659,1.1761,0.0089,456,33,51176,1687,0.8612,76,0.5241,Other_faults
4.2676,2.2304,0.1254,18896,867,1835252,1400,1.0,23,0.0558,K_Scatch
2.0607,0.8451,0.0041,115,10,13334,1690,0.2998,102,0.9279,Pastry
1.8195,1.0,0.0073,66,15,7519,1362,0.2061,96,0.2518,Bumps
1.0792,0.8451,0.0052,12,5,1537,1358,0.1292,104,0.6311,Stains
2.0864,1.1139,0.0096,122,21,14538,1356,0.3494,105,0.2478,Z_Scratch
2.6365,1.0792,0.0071,433,42,38917,1687,0.8336,78,0.1738,Pastry
2.0414,0.9542,0.0066,110,25,10329,1356,0.2942,64,0.0221,Pastry
3.8049,2.2253,0.1237,6318,310,635678,1356,1.0,111,0.0575,K_Scatch
2.0607,0.9542,0.0066,115,30,11804,1688,0.3359,86,0.0605,Healthy
1.7708,0.9542,0.0053,59,10,5608,1692,0.2018,84,0.7355,Pastry
2.6365,1.2305,0.0125,433,38,38917,1362,0.9856,93,0.1484,Healthy
2.2742,1.0414,0.0081,190,29,22158,1654,0.7065,113,0.3965,Bumps
2.0792,1.1139,0.0096,120,23,13351,1353,0.3834,125,0.1435,Stains
2.7566,1.0792,0.0089,561,34,61342,1353,0.9856,91,0.1454,Pastry
4.0496,2.1847,0.1091,11211,634,1248379,1402,1.0,27,0.0556,Healthy
2.4362,0.9542,0.0066,273,16,29895,1352,0.6514,96,0.0528,Pastry
3.7904,2.238,0.1274,6172,278,654834,1358,1.0,41,0.0604,K_Scatch
2.5575,1.0,0.0061,366,16,33449,1694,0.8299,85,0.9257,Bumps
2.0864,0.7782,0.0044,122,21,9441,1356,0.2984,44,0.0024,Z_Scratch
2.1903,1.1139,0.0077,155,24,17124,1692,0.4729,103,0.4599,Bumps
